Timestamp,Price (RMB/MWh),TotalDemand (MW),LoadForecast (MW),Temperature (°C),Humidity (%),WindSpeed (m/s),SolarIrradiance (W/m²),HydroGeneration (MW),WindGeneration (MW),SolarGeneration (MW),CoalGeneration (MW),GasGeneration (MW),PreviousPrice_lag1,PreviousPrice_lag2,RollingMean_3h,RollingStd_3h,DayOfWeek,HourOfDay,HolidayFlag,RenewableShare (%)
3/1/24 23:00,92.96,4485.0,4546.806536090311,23.2,50.0,4.7,446.0,435.0,348.0,120.0,1220.0,797.0,90.58,88.53,90.69,2.22,4,23,True,20.13
4/1/24 00:00,89.84,4449.0,4453.4328795480715,21.8,45.8,5.7,537.0,427.0,329.0,100.0,1325.0,812.0,92.96,90.58,91.13,1.63,5,0,False,19.24
4/1/24 01:00,93.07,4316.0,4325.86578537028,23.3,52.8,3.1,557.0,479.0,327.0,163.0,1297.0,847.0,89.84,92.96,91.96,1.83,5,1,False,22.45
4/1/24 02:00,84.72,4548.0,4517.117405228282,21.0,51.4,5.2,625.0,470.0,309.0,176.0,1320.0,825.0,93.07,89.84,89.21,4.21,5,2,True,21.0
4/1/24 03:00,91.62,4402.0,4386.196357198647,23.6,54.2,5.1,507.0,482.0,342.0,167.0,1258.0,850.0,84.72,93.07,89.8,4.46,5,3,False,22.51
4/1/24 04:00,90.16,4299.0,4329.788557488557,22.7,51.9,5.0,488.0,473.0,339.0,131.0,1240.0,827.0,91.62,84.72,88.83,3.64,5,4,False,21.94
4/1/24 05:00,89.4,4415.0,4475.194221858441,22.5,43.7,6.2,513.0,499.0,358.0,116.0,1218.0,811.0,90.16,91.62,90.39,1.13,5,5,False,22.04
4/1/24 06:00,90.18,4611.0,4604.02768621595,22.3,51.9,5.4,496.0,470.0,347.0,119.0,1289.0,807.0,89.4,90.16,89.91,0.44,5,6,False,20.3
4/1/24 07:00,86.02,4548.0,4525.490536757429,21.9,52.3,6.8,636.0,456.0,362.0,109.0,1218.0,889.0,90.18,89.4,88.53,2.21,5,7,False,20.38
4/1/24 08:00,89.56,4431.0,4431.02639794283,23.4,57.1,3.8,652.0,467.0,332.0,141.0,1362.0,868.0,86.02,90.18,88.59,2.24,5,8,False,21.21
4/1/24 09:00,90.7,4434.0,4464.060337446455,22.4,50.5,5.2,596.0,485.0,360.0,177.0,1204.0,893.0,89.56,86.02,88.76,2.44,5,9,False,23.05
4/1/24 10:00,92.93,4439.0,4366.807259193323,20.3,62.4,5.1,646.0,445.0,336.0,144.0,1282.0,857.0,90.7,89.56,91.06,1.71,5,10,False,20.84
4/1/24 11:00,88.92,4682.0,4567.190952343138,21.3,44.5,3.7,597.0,449.0,356.0,154.0,1346.0,828.0,92.93,90.7,90.85,2.01,5,11,False,20.48
4/1/24 12:00,88.32,4514.0,4486.473157525421,22.3,60.6,6.1,591.0,456.0,323.0,177.0,1297.0,880.0,88.92,92.93,90.06,2.51,5,12,False,21.18
4/1/24 13:00,88.91,4521.0,4459.964378704292,22.8,53.0,7.8,585.0,421.0,348.0,142.0,1275.0,839.0,88.32,88.92,88.72,0.34,5,13,False,20.15
4/1/24 14:00,91.72,4584.0,4558.592990117634,22.5,58.5,5.0,591.0,466.0,316.0,192.0,1217.0,846.0,88.91,88.32,89.65,1.82,5,14,False,21.25
4/1/24 15:00,90.51,4506.0,4498.610984059126,23.9,54.6,5.6,535.0,426.0,342.0,193.0,1195.0,837.0,91.72,88.91,90.38,1.41,5,15,False,21.33
4/1/24 16:00,88.76,4459.0,4436.337579548849,20.8,60.0,5.1,630.0,466.0,353.0,152.0,1302.0,750.0,90.51,91.72,90.33,1.49,5,16,False,21.78
4/1/24 17:00,90.8,4467.0,4539.623376723537,22.9,52.4,4.1,620.0,483.0,339.0,144.0,1338.0,886.0,88.76,90.51,90.02,1.1,5,17,False,21.63
4/1/24 18:00,89.93,4481.0,4497.337238230116,21.0,48.9,2.8,664.0,456.0,331.0,171.0,1240.0,852.0,90.8,88.76,89.83,1.02,5,18,False,21.38
4/1/24 19:00,91.62,4486.0,4501.023717980542,23.7,61.5,4.2,637.0,500.0,360.0,151.0,1204.0,847.0,89.93,90.8,90.78,0.85,5,19,False,22.54
4/1/24 20:00,88.23,4564.0,4595.11035720217,22.9,53.9,3.3,629.0,438.0,347.0,136.0,1138.0,834.0,91.62,89.93,89.93,1.7,5,20,True,20.18
4/1/24 21:00,88.92,4498.0,4441.058344110961,23.4,55.6,7.0,598.0,492.0,341.0,186.0,1211.0,841.0,88.23,91.62,89.59,1.79,5,21,False,22.65
4/1/24 22:00,88.74,4567.0,4618.955589371013,22.2,60.7,4.9,650.0,482.0,350.0,186.0,1253.0,817.0,88.92,88.23,88.63,0.36,5,22,False,22.29
4/1/24 23:00,86.53,4487.0,4483.211785673227,24.4,49.4,4.6,688.0,435.0,389.0,166.0,1338.0,853.0,88.74,88.92,88.06,1.33,5,23,True,22.06
5/1/24 00:00,89.98,4504.0,4537.5240308620605,24.2,57.6,6.1,599.0,524.0,367.0,139.0,1291.0,795.0,86.53,88.74,88.42,1.75,6,0,False,22.87
5/1/24 01:00,89.84,4297.0,4243.407138347992,23.8,51.7,3.7,665.0,469.0,368.0,140.0,1272.0,839.0,89.98,86.53,88.78,1.95,6,1,False,22.74
5/1/24 02:00,89.25,4589.0,4511.312061699196,23.2,54.0,4.1,676.0,453.0,357.0,168.0,1236.0,850.0,89.84,89.98,89.69,0.39,6,2,False,21.31
5/1/24 03:00,88.7,4533.0,4573.894482901252,23.9,55.1,5.1,633.0,443.0,354.0,157.0,1226.0,827.0,89.25,89.84,89.26,0.57,6,3,False,21.05
5/1/24 04:00,86.25,4599.0,4617.820476304876,22.7,47.3,6.2,644.0,467.0,316.0,162.0,1324.0,843.0,88.7,89.25,88.07,1.6,6,4,False,20.55
5/1/24 05:00,88.16,4210.0,4164.897422282124,24.3,50.9,5.6,689.0,470.0,342.0,190.0,1263.0,802.0,86.25,88.7,87.7,1.29,6,5,False,23.8
5/1/24 06:00,88.22,4708.0,4664.516845936265,25.2,61.6,5.3,625.0,475.0,345.0,185.0,1147.0,802.0,88.16,86.25,87.54,1.12,6,6,False,21.35
5/1/24 07:00,87.21,4486.0,4542.271739220739,24.6,59.4,5.1,704.0,467.0,325.0,199.0,1218.0,838.0,88.22,88.16,87.86,0.57,6,7,False,22.09
5/1/24 08:00,88.4,4611.0,4551.529405356634,22.9,54.7,5.5,646.0,487.0,336.0,153.0,1208.0,851.0,87.21,88.22,87.94,0.64,6,8,False,21.17
5/1/24 09:00,89.43,4396.0,4478.1336476627985,24.0,56.2,5.2,747.0,467.0,324.0,167.0,1222.0,774.0,88.4,87.21,88.35,1.11,6,9,False,21.79
5/1/24 10:00,92.29,4561.0,4515.968963267606,22.4,53.6,3.8,815.0,436.0,354.0,190.0,1277.0,845.0,89.43,88.4,90.04,2.02,6,10,False,21.49
5/1/24 11:00,88.76,4394.0,4425.919596280419,24.3,61.9,5.1,659.0,473.0,367.0,185.0,1243.0,812.0,92.29,89.43,90.16,1.87,6,11,False,23.33
5/1/24 12:00,88.82,4437.0,4420.5690762125505,24.3,54.1,3.7,733.0,429.0,372.0,207.0,1243.0,822.0,88.76,92.29,89.96,2.02,6,12,False,22.72
5/1/24 13:00,88.04,4690.0,4720.159371554118,22.0,56.3,5.1,673.0,484.0,362.0,186.0,1312.0,788.0,88.82,88.76,88.54,0.43,6,13,False,22.0
5/1/24 14:00,84.23,4479.0,4451.794299894291,22.8,61.0,4.4,765.0,458.0,341.0,215.0,1210.0,802.0,88.04,88.82,87.03,2.46,6,14,False,22.64
5/1/24 15:00,87.9,4519.0,4510.860354696385,23.7,51.4,8.0,654.0,481.0,327.0,190.0,1338.0,856.0,84.23,88.04,86.72,2.16,6,15,False,22.08
5/1/24 16:00,87.95,4584.0,4586.045958769786,23.7,63.1,5.0,745.0,504.0,330.0,201.0,1210.0,827.0,87.9,84.23,86.69,2.13,6,16,False,22.58
5/1/24 17:00,92.63,4546.0,4495.890627210926,22.8,47.7,3.3,680.0,460.0,338.0,175.0,1247.0,814.0,87.95,87.9,89.49,2.72,6,17,False,21.4
5/1/24 18:00,87.19,4510.0,4547.041217271007,24.5,63.5,4.8,717.0,500.0,344.0,182.0,1228.0,821.0,92.63,87.95,89.26,2.95,6,18,False,22.75
5/1/24 19:00,88.04,4530.0,4504.339321676421,24.4,53.6,5.6,679.0,471.0,355.0,201.0,1247.0,839.0,87.19,92.63,89.29,2.93,6,19,False,22.67
5/1/24 20:00,87.24,4733.0,4721.570004232999,24.0,54.3,7.0,775.0,515.0,343.0,216.0,1262.0,837.0,88.04,87.19,87.49,0.48,6,20,False,22.69
5/1/24 21:00,84.83,4486.0,4436.282531269574,23.5,46.1,4.3,695.0,473.0,364.0,199.0,1261.0,821.0,87.24,88.04,86.7,1.67,6,21,True,23.09
5/1/24 22:00,89.31,4510.0,4381.883317060235,25.3,53.3,3.1,768.0,464.0,355.0,183.0,1200.0,856.0,84.83,87.24,87.13,2.24,6,22,False,22.22
5/1/24 23:00,88.39,4593.0,4583.4486118699915,25.9,50.4,6.0,726.0,495.0,359.0,213.0,1181.0,851.0,89.31,84.83,87.51,2.37,6,23,False,23.23
6/1/24 00:00,88.32,4597.0,4717.630771080646,23.8,52.6,3.3,740.0,473.0,377.0,143.0,1361.0,834.0,88.39,89.31,88.67,0.55,0,0,False,21.6
6/1/24 01:00,84.77,4604.0,4643.230214394901,23.7,55.0,4.5,756.0,466.0,342.0,159.0,1211.0,823.0,88.32,88.39,87.16,2.07,0,1,True,21.0
6/1/24 02:00,89.24,4547.0,4546.036981013281,24.9,60.5,4.7,714.0,473.0,367.0,202.0,1269.0,840.0,84.77,88.32,87.44,2.36,0,2,False,22.92
6/1/24 03:00,83.48,4367.0,4353.855458539587,24.1,56.8,4.9,765.0,482.0,361.0,189.0,1153.0,829.0,89.24,84.77,85.83,3.02,0,3,False,23.63
6/1/24 04:00,87.3,4642.0,4643.123294640603,24.3,57.4,5.8,833.0,511.0,356.0,201.0,1218.0,851.0,83.48,89.24,86.67,2.93,0,4,False,23.01
6/1/24 05:00,90.35,4362.0,4389.3559557587605,25.2,50.4,4.2,721.0,446.0,375.0,191.0,1225.0,846.0,87.3,83.48,87.04,3.44,0,5,False,23.2
6/1/24 06:00,83.82,4505.0,4445.959359234558,22.6,51.5,4.7,821.0,485.0,375.0,202.0,1254.0,788.0,90.35,87.3,87.16,3.27,0,6,False,23.57
6/1/24 07:00,84.51,4397.0,4452.7160847334435,25.9,64.9,5.0,839.0,498.0,348.0,175.0,1093.0,785.0,83.82,90.35,86.23,3.59,0,7,False,23.22
6/1/24 08:00,85.67,4463.0,4498.769065772062,24.7,52.3,5.2,726.0,489.0,360.0,203.0,1237.0,796.0,84.51,83.82,84.67,0.93,0,8,False,23.57
6/1/24 09:00,84.3,4500.0,4535.909286285397,24.2,64.3,5.1,696.0,512.0,367.0,212.0,1170.0,846.0,85.67,84.51,84.83,0.74,0,9,False,24.24
6/1/24 10:00,82.03,4496.0,4517.923786940486,24.5,54.8,5.5,786.0,485.0,359.0,217.0,1243.0,769.0,84.3,85.67,84.0,1.84,0,10,False,23.6
6/1/24 11:00,85.1,4503.0,4503.980832884699,24.6,56.1,6.0,746.0,483.0,372.0,234.0,1174.0,827.0,82.03,84.3,83.81,1.59,0,11,False,24.18
6/1/24 12:00,82.66,4620.0,4653.643061798341,23.0,61.5,5.5,869.0,499.0,368.0,199.0,1182.0,826.0,85.1,82.03,83.26,1.62,0,12,False,23.07
6/1/24 13:00,85.56,4501.0,4530.590706687069,26.2,62.5,5.5,779.0,489.0,392.0,200.0,1210.0,849.0,82.66,85.1,84.44,1.56,0,13,False,24.02
6/1/24 14:00,82.59,4428.0,4410.297964452949,24.8,55.7,3.1,739.0,480.0,342.0,164.0,1170.0,819.0,85.56,82.66,83.6,1.69,0,14,False,22.27
6/1/24 15:00,87.35,4545.0,4516.3199113551545,25.2,54.3,5.1,723.0,499.0,363.0,185.0,1198.0,773.0,82.59,85.56,85.17,2.4,0,15,False,23.04
6/1/24 16:00,82.5,4564.0,4569.092814763099,25.7,56.0,5.6,837.0,476.0,352.0,192.0,1161.0,784.0,87.35,82.59,84.15,2.77,0,16,False,22.35
6/1/24 17:00,83.24,4319.0,4396.451007574759,23.8,58.0,5.9,756.0,477.0,375.0,217.0,1128.0,776.0,82.5,87.35,84.36,2.61,0,17,False,24.75
6/1/24 18:00,85.33,4498.0,4436.044646217305,25.3,60.8,4.2,788.0,479.0,342.0,184.0,1270.0,795.0,83.24,82.5,83.69,1.47,0,18,False,22.34
6/1/24 19:00,81.05,4505.0,4431.623736712378,24.6,56.4,4.2,835.0,517.0,371.0,213.0,1153.0,805.0,85.33,83.24,83.21,2.14,0,19,False,24.44
6/1/24 20:00,83.78,4401.0,4409.238042061826,25.7,59.5,4.3,764.0,426.0,357.0,197.0,1208.0,775.0,81.05,85.33,83.39,2.17,0,20,False,22.27
6/1/24 21:00,85.75,4565.0,4567.544385092801,22.7,64.7,5.6,788.0,498.0,356.0,194.0,1254.0,854.0,83.78,81.05,83.53,2.36,0,21,False,22.96
6/1/24 22:00,79.73,4408.0,4416.66708321852,24.8,58.4,6.2,790.0,491.0,345.0,203.0,1184.0,769.0,85.75,83.78,83.09,3.07,0,22,False,23.57
6/1/24 23:00,83.12,4432.0,4444.197659895425,24.3,58.1,4.5,826.0,457.0,360.0,190.0,1173.0,849.0,79.73,85.75,82.87,3.02,0,23,False,22.72
7/1/24 00:00,83.08,4398.0,4386.83988726826,25.3,49.0,6.1,823.0,498.0,384.0,190.0,1224.0,843.0,83.12,79.73,81.98,1.95,1,0,False,24.37
7/1/24 01:00,83.93,4412.0,4486.493171930104,25.4,43.5,5.1,783.0,501.0,368.0,164.0,1268.0,834.0,83.08,83.12,83.38,0.48,1,1,False,23.41
7/1/24 02:00,79.7,4297.0,4216.954801076175,24.2,58.6,4.9,798.0,504.0,378.0,194.0,1152.0,786.0,83.93,83.08,82.24,2.24,1,2,False,25.04
7/1/24 03:00,79.33,4258.0,4216.575148760988,24.2,56.2,4.7,777.0,439.0,394.0,189.0,1202.0,816.0,79.7,83.93,80.99,2.56,1,3,False,24.0
7/1/24 04:00,82.82,4557.0,4551.837261992548,24.8,54.2,5.9,723.0,520.0,373.0,189.0,1122.0,767.0,79.33,79.7,80.62,1.92,1,4,True,23.74
7/1/24 05:00,82.17,4308.0,4225.840559442292,24.1,58.0,5.4,810.0,478.0,361.0,208.0,1188.0,832.0,82.82,79.33,81.44,1.86,1,5,False,24.3
